posted,neighborhood,post title,num_bedrooms,sqft,URL,price
2022-06-13 20:26:00,Vancouver,[NextGen PM] 2BDR + Den Corner Unit at ELEMENTS,2.0,846.0,https://vancouver.craigslist.org/van/apa/d/vancouver-nextgen-pm-2bdr-den-corner/7496264943.html,3300
2022-06-13 20:25:00,Vancouver,"1 Bedroom, Den, 1 Bathroom Corner Suite with Balcony and Views",1.0,795.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-den-bathroom-corner/7496264816.html,3695
2022-06-13 20:25:00,Vancouver,Charming 2 Bedroom Corner Suite With Views,2.0,950.0,https://vancouver.craigslist.org/van/apa/d/vancouver-charming-bedroom-corner-suite/7496264693.html,3995
2022-06-13 20:24:00,Vancouver,2 Level Luxury Penthouse for Rent - 4 Bedroom 3 Bathroom,4.0,2454.0,https://vancouver.craigslist.org/van/apa/d/vancouver-level-luxury-penthouse-for/7496264616.html,12250
2022-06-13 20:24:00,North Vancouver,Spacious 2 bedroom plus den with stunning false creek view,2.0,1100.0,https://vancouver.craigslist.org/van/apa/d/vancouver-spacious-bedroom-plus-den/7493315670.html,3650
2022-06-13 20:23:00,Vancouver,Spectacular Ocean View  2 Bedroom + Den Condo,2.0,1100.0,https://vancouver.craigslist.org/van/apa/d/vancouver-spectacular-ocean-view/7493858114.html,3650
2022-06-13 20:23:00,North Vancouver,Fully furnished modern 3 bedroom 3 bathroom townhouse,3.0,1700.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-northwest-central-fully/7493601428.html,5900
2022-06-13 20:23:00,Vancouver,"Stunning fully furnished Two Bedroom, 3 Bathroom  Unit @ Trump!",2.0,1180.0,https://vancouver.craigslist.org/van/apa/d/vancouver-stunning-fully-furnished-two/7490808580.html,6900
2022-06-13 20:22:00,Vancouver,Downtown Vancouver Studio Suite,,300.0,https://vancouver.craigslist.org/van/apa/d/vancouver-downtown-vancouver-studio/7489081523.html,1700
2022-06-13 20:22:00,East Vancouver,Basement suite at Victoria and E.33rd Ave.,1.0,400.0,https://vancouver.craigslist.org/van/apa/d/vancouver-basement-suite-at-victoria/7489080456.html,1500
2022-06-13 20:21:00,Surrey,Large 2 bedroom,2.0,1200.0,https://vancouver.craigslist.org/rds/apa/d/surrey-east-large-bedroom/7496264047.html,1850
2022-06-13 20:21:00,5325 West Boulevard,One Bedroom and Den Apartment in Kerrisdale,1.0,640.0,https://vancouver.craigslist.org/van/apa/d/one-bedroom-and-den-apartment-in/7492478834.html,2250
2022-06-13 20:20:00,Fernie,Trans Mountain,2.0,,https://vancouver.craigslist.org/pml/apa/d/calgary-trans-mountain/7496263737.html,123
2022-06-13 20:17:00,Burnaby,Brand New 2 Bed Basement in Heart of Burnaby Heights,2.0,,https://vancouver.craigslist.org/bnc/apa/d/burnaby-brand-new-bed-basement-in-heart/7496263169.html,2280
2022-06-13 20:16:00,Coquitlam,one bedroom suite for rent,1.0,650.0,https://vancouver.craigslist.org/pml/apa/d/coquitlam-one-bedroom-suite-for-rent/7496262614.html,1200
2022-06-13 20:16:00,Richmond,⭐️⭐️⭐️⭐️ 3BR/2BATH Bright & Spacious 1400sqft Townhouse,3.0,1400.0,https://vancouver.craigslist.org/rch/apa/d/richmond-3br-2bath-bright-spacious/7495381552.html,2880
2022-06-13 20:14:00,Burnaby,"Lovely and Bright 2 Bed, 2 Bath with Stylish Interior Design",2.0,865.0,https://vancouver.craigslist.org/van/apa/d/burnaby-lovely-and-bright-bed-bath-with/7496262598.html,3950
2022-06-13 20:14:00,Maple Ridge,Vancouver 4 Bed 4.5 Bath Furnished House for Rent,4.0,,https://vancouver.craigslist.org/pml/apa/d/maple-ridge-east-vancouver-bed-45-bath/7496262511.html,6495
2022-06-13 20:14:00,Richmond,4 Bedroom+ 2 Bath Upper Suite @Steveston North,4.0,1650.0,https://vancouver.craigslist.org/rch/apa/d/richmond-bedroom-bath-upper-suite/7494059461.html,2750
2022-06-13 20:14:00,Vancouver,"Furnished Condo for Rent, 1 Bedroom plus Den, 1.5 Bathroom",1.0,1000.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-condo-for-rent/7496262431.html,4995
2022-06-13 20:13:00,Vancouver,Furnished Laneway House for Rent - 1 Bedroom 1 Bathroom,1.0,700.0,https://vancouver.craigslist.org/van/apa/d/vancouver-furnished-laneway-house-for/7496262310.html,2995
2022-06-13 20:12:00,West Vancouver,West Vancouver British Properties Stevens Drive 4 bed 3 bath home,4.0,2400.0,https://vancouver.craigslist.org/nvn/apa/d/west-vancouver-west-vancouver-british/7490590656.html,7200
2022-06-13 20:12:00,Vancouver,Fairmont Pacific Rim 3 bed 3 bath Coal Harbour 34th floor,3.0,1794.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fairmont-pacific-rim-bed-bath/7490804644.html,13500
2022-06-13 20:11:00,Surrey,"$1,850 - 1 Bed, 1 Den, 1 Bath, Balcony, In site Laundry, parking",1.0,632.0,https://vancouver.craigslist.org/rds/apa/d/surrey-upper-west-bed-den-bath-balcony/7496261801.html,1850
2022-06-13 20:11:00,Vancouver,"New Large, Bright 2 bedroom, 2 bathroom Laneway",2.0,700.0,https://vancouver.craigslist.org/van/apa/d/vancouver-new-large-bright-bedroom/7494772300.html,2600
2022-06-13 20:10:00,Vancouver,Fully Furnished Luxury 1 Bedroom + Office Telus Garden,1.0,600.0,https://vancouver.craigslist.org/van/apa/d/vancouver-fully-furnished-luxury/7495320313.html,2988
2022-06-13 20:07:00,Vancouver,2 Bedroom with loft only steps from English Bay,2.0,925.0,https://vancouver.craigslist.org/van/apa/d/vancouver-bedroom-with-loft-only-steps/7491595527.html,3750
2022-06-13 20:03:00,North Vancouver,Spacious 3 Bed/2 Bath Character House w/ CITY VIEW in Upper Lonsdale!,3.0,1800.0,https://vancouver.craigslist.org/nvn/apa/d/north-vancouver-spacious-bed-bath/7496260085.html,3800
2022-06-13 20:02:00,Coquitlam,Upper level of furnished house for rent in Eagle ridge Coquitlam area,3.0,1500.0,https://vancouver.craigslist.org/pml/apa/d/port-moody-upper-level-of-furnished/7496259942.html,3000
2022-06-13 19:59:00,Port Moody,3 bedrooms house for rent in Port Moody,3.0,1872.0,https://vancouver.craigslist.org/pml/apa/d/port-moody-bedrooms-house-for-rent-in/7496259360.html,4000
2022-06-13 19:51:00,Port Moody,House for rent,3.0,1300.0,https://vancouver.craigslist.org/pml/apa/d/port-moody-house-for-rent/7496257517.html,3150
2022-06-13 19:46:00,Vancouver,NEW BUILD  Near Commercial Drive,2.0,809.0,https://vancouver.craigslist.org/van/apa/d/vancouver-new-build-near-commercial/7493300932.html,3200
2022-06-13 19:41:00,Vancouver,Basement suite in the heart of Kits,1.0,500.0,https://vancouver.craigslist.org/van/apa/d/vancouver-basement-suite-in-the-heart/7496255297.html,1050
